CIC_AEM_VERS = 1.0
CREATION_DATE = 2025-09-10T10:10:01
ORIGINATOR = SUTS

META_START

COMMENT Detumbling simulation output using quaternion

OBJECT_NAME = SUTS
OBJECT_ID = SUTS

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = UTC
ATTITUDE_TYPE = QUATERNION

META_STOP

60928 36394.86608 0.272460 0.722963 0.286565 0.566542
60928 36395.86608 0.393219 0.575548 0.412612 0.586408
60928 36396.86608 0.550608 0.131788 0.616931 0.546680
60928 36397.86608 0.419321 -0.278475 0.714938 0.485267
60928 36398.86608 0.298464 -0.505770 0.712460 0.384078
60928 36399.86608 0.261375 -0.578915 0.688130 0.350739
60928 36400.86608 0.245895 -0.610560 0.673219 0.336941
60928 36401.86608 0.235195 -0.624343 0.668123 0.329379
60928 36402.86608 0.232720 -0.638472 0.658770 0.322827
60928 36403.86608 0.231055 -0.654988 0.647912 0.312752
60928 36404.86608 0.234223 -0.661189 0.641058 0.311469
60928 36405.86608 0.233270 -0.658768 0.643287 0.312717
60928 36406.86608 0.231444 -0.653839 0.648073 0.314531
60928 36407.86608 0.230131 -0.649594 0.652121 0.315920
60928 36408.86608 0.232630 -0.653367 0.648144 0.314490
60928 36409.86608 0.235867 -0.659577 0.641806 0.312107
60928 36410.86608 0.235948 -0.659473 0.641894 0.312083
60928 36411.86608 0.231926 -0.650666 0.650814 0.315094
60928 36412.86608 0.232863 -0.651767 0.649720 0.314388
60928 36413.86608 0.230274 -0.645382 0.656074 0.316264
60928 36414.86608 0.231907 -0.647763 0.653744 0.315025
60928 36415.86608 0.236277 -0.656651 0.644981 0.311418
60928 36416.86608 0.239340 -0.663198 0.638408 0.308740
60928 36417.86608 0.238257 -0.661145 0.640692 0.309250
60928 36418.86608 0.234269 -0.652675 0.649489 0.311926
60928 36419.86608 0.231526 -0.646382 0.655933 0.313589
60928 36420.86608 0.232975 -0.648849 0.653675 0.312134
60928 36421.86608 0.237306 -0.657737 0.644901 0.308497
60928 36422.86608 0.240346 -0.664281 0.638315 0.305808
60928 36423.86608 0.239276 -0.662227 0.640600 0.306322
60928 36424.86608 0.235330 -0.653758 0.649408 0.309014
60928 36425.86608 0.232620 -0.647463 0.655861 0.310686
60928 36426.86608 0.234064 -0.649928 0.653596 0.309226
60928 36427.86608 0.238360 -0.658814 0.644805 0.305574
60928 36428.86608 0.241373 -0.665356 0.638206 0.302875
60928 36429.86608 0.240314 -0.663303 0.640491 0.303395
60928 36430.86608 0.236408 -0.654834 0.649311 0.306102
60928 36431.86608 0.233731 -0.648539 0.655771 0.307784
60928 36432.86608 0.235169 -0.651002 0.653499 0.306318
60928 36433.86608 0.239431 -0.659885 0.644692 0.302650
60928 36434.86608 0.242416 -0.666427 0.638079 0.299941
60928 36435.86608 0.241367 -0.664375 0.640366 0.300467
60928 36436.86608 0.237501 -0.655907 0.649196 0.303189
60928 36437.86608 0.234856 -0.649612 0.655664 0.304880
60928 36438.86608 0.236288 -0.652073 0.653386 0.303407
60928 36439.86608 0.240513 -0.660954 0.644562 0.299722
60928 36440.86608 0.243470 -0.667494 0.637937 0.297003
60928 36441.86608 0.242430 -0.665443 0.640225 0.297533
60928 36442.86608 0.238604 -0.656977 0.649066 0.300269
60928 36443.86608 0.235990 -0.650683 0.655542 0.301969
60928 36444.86608 0.237415 -0.653142 0.653258 0.300489
60928 36445.86608 0.241603 -0.662021 0.644418 0.296786
60928 36446.86608 0.244531 -0.668560 0.637780 0.294056
60928 36447.86608 0.243501 -0.666511 0.640068 0.294590
60928 36448.86608 0.239714 -0.658048 0.648922 0.297340
60928 36449.86608 0.237130 -0.651754 0.655406 0.299049
60928 36450.86608 0.238548 -0.654211 0.653116 0.297560
60928 36451.86608 0.242698 -0.663088 0.644260 0.293840
60928 36452.86608 0.245597 -0.669626 0.637609 0.291097
60928 36453.86608 0.244575 -0.667579 0.639899 0.291634
60928 36454.86608 0.240827 -0.659119 0.648764 0.294398
60928 36455.86608 0.238273 -0.652826 0.655256 0.296114
60928 36456.86608 0.239683 -0.655283 0.652961 0.294617
